#425
#41373
# what-if time: 276.9609661102295
# cost_requests: 1719994	cache_hits: 1503891
data;

set QUERIES :=  1 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 19 21 22;

param a :=
1 43106304 # ['c_acctbal']
2 80330752 # ['c_address']
3 174383104 # ['c_comment']
4 39182336 # ['c_custkey']
5 52895744 # ['c_mktsegment']
6 68575232 # ['c_name']
7 39182336 # ['c_nationkey']
8 62693376 # ['c_phone']
9 1567334400 # ['l_commitdate']
10 1567334400 # ['l_discount']
11 1880809472 # ['l_extendedprice']
12 1410605056 # ['l_linestatus']
13 1567334400 # ['l_orderkey']
14 1567334400 # ['l_partkey']
15 1645707264 # ['l_quantity']
16 1567334400 # ['l_receiptdate']
17 1410605056 # ['l_returnflag']
18 1567334400 # ['l_shipdate']
19 3291414528 # ['l_shipinstruct']
20 2115903488 # ['l_shipmode']
21 1567334400 # ['l_suppkey']
22 1567334400 # ['l_tax']
23 8192 # ['n_name']
24 8192 # ['n_nationkey']
25 8192 # ['n_regionkey']
26 1273700352 # ['o_comment']
27 391905280 # ['o_custkey']
28 391905280 # ['o_orderdate']
29 391905280 # ['o_orderkey']
30 627048448 # ['o_orderpriority']
31 352714752 # ['o_orderstatus']
32 391905280 # ['o_shippriority']
33 470286336 # ['o_totalprice']
34 70541312 # ['p_brand']
35 70541312 # ['p_container']
36 128024576 # ['p_name']
37 52248576 # ['p_partkey']
38 52248576 # ['p_size']
39 96665600 # ['p_type']
40 209133568 # ['ps_availqty']
41 209133568 # ['ps_partkey']
42 209133568 # ['ps_suppkey']
43 230047744 # ['ps_supplycost']
44 8192 # ['r_name']
45 8192 # ['r_regionkey']
46 5349376 # ['s_address']
47 10313728 # ['s_comment']
48 5480448 # ['s_name']
49 2605056 # ['s_nationkey']
50 4177920 # ['s_phone']
51 2605056 # ['s_suppkey']
52 107765760 # ['c_acctbal', 'c_address']
set combi[3016]:= 377 281;
set combi[3017]:= 377 107;
set combi[3018]:= 377 331;
set combi[3019]:= 377 250;
set combi[3020]:= 377 406;
set combi[3021]:= 377 416;
set combi[3022]:= 377 34;
set combi[3023]:= 377 56;
set combi[3024]:= 377 211;
set combi[3025]:= 377 115;
set combi[3026]:= 377 135;
set combi[3027]:= 377 43;
set combi[3028]:= 377 230;
set combi[3029]:= 377 35;
set combi[3030]:= 377 28;
set combi[3031]:= 377 284;
set combi[3032]:= 377 304;
set combi[3033]:= 377 70;
set combi[3034]:= 377 17;
set combi[3035]:= 377 161;
set combi[3036]:= 377 4;
set combi[3037]:= 377 248;
set combi[3038]:= 377 82;
set combi[3039]:= 377 143;
set combi[3040]:= 377 1;
set combi[3041]:= 377 238;
set combi[3042]:= 377 50;
set combi[3043]:= 377 139;
set combi[3044]:= 377 213;
set combi[3045]:= 377 209;
set combi[3046]:= 377 346;
set combi[3047]:= 377 326;
set combi[3048]:= 377 356;
set combi[3049]:= 377 169;
set combi[3050]:= 377 413;
set combi[3051]:= 377 165;
set combi[3052]:= 377 104;
set combi[3053]:= 377 193;
set combi[3054]:= 377 221;
set combi[3055]:= 377 308;
set combi[3056]:= 377 273;
set combi[3057]:= 377 218;
set combi[3058]:= 377 101;
set combi[3059]:= 377 343;
set combi[3060]:= 377 226;
set combi[3061]:= 377 314;
set combi[3062]:= 377 77;
set combi[3063]:= 377 329;
set combi[3064]:= 377 364;
set combi[3065]:= 377 81;
set combi[3066]:= 377 234;
set combi[3067]:= 377 379;
set combi[3068]:= 377 231;
set combi[3069]:= 377 321;
set combi[3070]:= 377 42;
set combi[3071]:= 377 236;
set combi[3072]:= 377 159;
set combi[3073]:= 377 132;
set combi[3074]:= 377 177;
set combi[3075]:= 377 100;
set combi[3076]:= 377 267;
set combi[3077]:= 377 285;
set combi[3078]:= 377 359;
set combi[3079]:= 377 263;
set combi[3080]:= 377 188;
set combi[3081]:= 377 405;
set combi[3082]:= 377 57;
set combi[3083]:= 377 400;
set combi[3084]:= 377 414;
set combi[3085]:= 377 88;
set combi[3086]:= 377 246;
set combi[3087]:= 377 157;
set combi[3088]:= 377 339;
set combi[3089]:= 377 29;
set combi[3090]:= 377 129;
set combi[3091]:= 377 71;
set combi[3092]:= 377 23;
set combi[3093]:= 377 387;
set combi[3094]:= 377 305;
set combi[3095]:= 377 206;
set combi[3096]:= 377 394;
set combi[3097]:= 377 94;
set combi[3098]:= 377 311;
set combi[3099]:= 377 376;
set combi[3100]:= 377 153;
set combi[3101]:= 377 309;
set combi[3102]:= 377 58;
set combi[3103]:= 377 111;
set combi[3104]:= 377 258;
set combi[3105]:= 377 327;
set combi[3106]:= 377 318;
set combi[3107]:= 377 279;
set combi[3108]:= 377 13;
set combi[3109]:= 377 146;
set combi[3110]:= 377 26;
set combi[3111]:= 377 330;
set combi[3112]:= 377 301;
set combi[3113]:= 377 5;
set combi[3114]:= 377 409;
set combi[3115]:= 377 389;
set combi[3116]:= 377 422;
set combi[3117]:= 377 303;
set combi[3118]:= 377 172;
set combi[3119]:= 377 123;
set combi[3120]:= 377 403;
set combi[3121]:= 377 398;
set combi[3122]:= 377 114;
set combi[3123]:= 377 264;
set combi[3124]:= 377 78;
set combi[3125]:= 377 370;
set combi[3126]:= 377 224;
set combi[3127]:= 377 190;
set combi[3128]:= 377 388;
set combi[3129]:= 377 105;
set combi[3130]:= 377 324;
set combi[3131]:= 377 352;
set combi[3132]:= 377 269;
set combi[3133]:= 377 144;
set combi[3134]:= 377 392;
set combi[3135]:= 377 68;
set combi[3136]:= 377 201;
set combi[3137]:= 377 16;
set combi[3138]:= 377 66;
set combi[3139]:= 377 360;
set combi[3140]:= 377 25;
set combi[3141]:= 377 37;
set combi[3142]:= 377 140;
set combi[3143]:= 377 222;
set combi[3144]:= 377 237;
set combi[3145]:= 377 293;
set combi[3146]:= 377 280;
set combi[3147]:= 377 154;
set combi[3148]:= 377 166;
set combi[3149]:= 377 355;
set combi[3150]:= 377 351;
set combi[3151]:= 377 219;
set combi[3152]:= 377 259;
set combi[3153]:= 377 96;
set combi[3154]:= 377 332;
set combi[3155]:= 377 41;
set combi[3156]:= 377 8;
set combi[3157]:= 377 265;
set combi[3158]:= 377 235;
set combi[3159]:= 377 30;
set combi[3160]:= 377 320;
set combi[3161]:= 377 73;
set combi[3162]:= 377 225;
set combi[3163]:= 377 302;
set combi[3164]:= 377 121;
set combi[3165]:= 377 242;
set combi[3166]:= 377 40;
set combi[3167]:= 377 274;
set combi[3168]:= 377 125;
set combi[3169]:= 377 90;
set combi[3170]:= 377 270;
set combi[3171]:= 377 175;
set combi[3172]:= 377 203;
set combi[3173]:= 377 98;
set combi[3174]:= 377 294;
set combi[3175]:= 377 44;
set combi[3176]:= 377 372;
set combi[3177]:= 377 53;
set combi[3178]:= 377 149;
set combi[3179]:= 377 366;
set combi[3180]:= 377 181;
set combi[3181]:= 377 373;
set combi[3182]:= 377 141;
set combi[3183]:= 377 245;
set combi[3184]:= 377 253;
set combi[3185]:= 377 393;
set combi[3186]:= 197 307;
set combi[3187]:= 197 322;
set combi[3188]:= 197 233;
set combi[3189]:= 197 378;
set combi[3190]:= 197 150;
set combi[3191]:= 197 162;
set combi[3192]:= 197 424;
set combi[3193]:= 197 354;
set combi[3194]:= 197 415;
set combi[3195]:= 197 27;
set combi[3196]:= 197 173;
set combi[3197]:= 197 163;
set combi[3198]:= 197 137;
set combi[3199]:= 197 216;
set combi[3200]:= 197 83;
set combi[3201]:= 197 353;
set combi[3202]:= 197 375;
set combi[3203]:= 197 174;
set combi[3204]:= 197 229;
set combi[3205]:= 197 14;
set combi[3206]:= 197 182;
set combi[3207]:= 197 178;
set combi[3208]:= 197 184;
set combi[3209]:= 197 306;
set combi[3210]:= 197 232;
set combi[3211]:= 197 380;
set combi[3212]:= 197 319;
set combi[3213]:= 197 374;
set combi[3214]:= 197 425;
set combi[3215]:= 197 243;
set combi[3216]:= 197 171;
set combi[3217]:= 197 18;
set combi[3218]:= 197 24;
set combi[3219]:= 197 185;
set combi[3220]:= 197 49;
set combi[3221]:= 197 168;
set combi[3222]:= 197 381;
set combi[3223]:= 197 227;
set combi[3224]:= 197 183;
set combi[3225]:= 197 268;
set combi[3226]:= 197 421;
set combi[3227]:= 197 39;
set combi[3228]:= 197 179;
set combi[3229]:= 197 97;
set combi[3230]:= 197 323;
set combi[3231]:= 197 292;
set combi[3232]:= 197 256;
set combi[3233]:= 197 357;
set combi[3234]:= 197 317;
set combi[3235]:= 197 228;
set combi[3236]:= 197 124;
set combi[3237]:= 197 390;
set combi[3238]:= 197 170;
set combi[3239]:= 197 180;
set combi[3240]:= 197 334;
set combi[3241]:= 197 423;
set combi[3242]:= 197 160;
set combi[3243]:= 197 164;
set combi[3244]:= 197 281;
set combi[3245]:= 197 34;
set combi[3246]:= 197 230;
set combi[3247]:= 197 35;
set combi[3248]:= 197 304;
set combi[3249]:= 197 161;
set combi[3250]:= 197 4;
set combi[3251]:= 197 1;
set combi[3252]:= 197 356;
set combi[3253]:= 197 169;
set combi[3254]:= 197 165;
set combi[3255]:= 197 308;
set combi[3256]:= 197 226;
set combi[3257]:= 197 234;
set combi[3258]:= 197 379;
set combi[3259]:= 197 231;
set combi[3260]:= 197 321;
set combi[3261]:= 197 42;
set combi[3262]:= 197 236;
set combi[3263]:= 197 177;
set combi[3264]:= 197 359;
set combi[3265]:= 197 29;
set combi[3266]:= 197 305;
set combi[3267]:= 197 376;
set combi[3268]:= 197 309;
set combi[3269]:= 197 111;
set combi[3270]:= 197 318;
set combi[3271]:= 197 13;
set combi[3272]:= 197 389;
set combi[3273]:= 197 422;
set combi[3274]:= 197 303;
set combi[3275]:= 197 172;
set combi[3276]:= 197 190;
set combi[3277]:= 197 388;
set combi[3278]:= 197 352;
set combi[3279]:= 197 269;
set combi[3280]:= 197 360;
set combi[3281]:= 197 237;
set combi[3282]:= 197 293;
set combi[3283]:= 197 166;
set combi[3284]:= 197 355;
set combi[3285]:= 197 235;
set combi[3286]:= 197 320;
set combi[3287]:= 197 225;
set combi[3288]:= 197 175;
set combi[3289]:= 197 203;
set combi[3290]:= 197 372;
set combi[3291]:= 197 181;
set combi[3292]:= 197 373;
set combi[3293]:= 126 307;
set combi[3294]:= 126 322;
set combi[3295]:= 126 233;
set combi[3296]:= 126 378;
set combi[3297]:= 126 150;
set combi[3298]:= 126 162;
set combi[3299]:= 126 424;
set combi[3300]:= 126 354;
set combi[3301]:= 126 415;
set combi[3302]:= 126 27;
set combi[3303]:= 126 173;
set combi[3304]:= 126 163;
set combi[3305]:= 126 137;
set combi[3306]:= 126 216;
set combi[3307]:= 126 83;
set combi[3308]:= 126 353;
set combi[3309]:= 126 375;
set combi[3310]:= 126 174;
set combi[3311]:= 126 229;
set combi[3312]:= 126 14;
set combi[3313]:= 126 182;
set combi[3314]:= 126 178;
set combi[3315]:= 126 184;
set combi[3316]:= 126 306;
set combi[3317]:= 126 232;
set combi[3318]:= 126 380;
set combi[3319]:= 126 319;
set combi[3320]:= 126 374;
set combi[3321]:= 126 425;
set combi[3322]:= 126 243;
set combi[3323]:= 126 171;
set combi[3324]:= 126 18;
set combi[3325]:= 126 24;
set combi[3326]:= 126 185;
set combi[3327]:= 126 49;
set combi[3328]:= 126 168;
set combi[3329]:= 126 381;
set combi[3330]:= 126 227;
set combi[3331]:= 126 183;
set combi[3332]:= 126 268;
set combi[3333]:= 126 421;
set combi[3334]:= 126 39;
set combi[3335]:= 126 179;
set combi[3336]:= 126 97;
set combi[3337]:= 126 323;
set combi[3338]:= 126 292;
set combi[3339]:= 126 256;
set combi[3340]:= 126 357;
set combi[3341]:= 126 317;
set combi[3342]:= 126 228;
set combi[3343]:= 126 124;
set combi[3344]:= 126 390;
set combi[3345]:= 126 170;
set combi[3346]:= 126 180;
set combi[3347]:= 126 334;
set combi[3348]:= 126 423;
set combi[3349]:= 126 160;
set combi[3350]:= 126 164;
set combi[3351]:= 126 281;
set combi[3352]:= 126 34;
set combi[3353]:= 126 230;
set combi[3354]:= 126 35;
set combi[3355]:= 126 304;
set combi[3356]:= 126 161;
set combi[3357]:= 126 4;
set combi[3358]:= 126 1;
set combi[3359]:= 126 356;
set combi[3360]:= 126 169;
set combi[3361]:= 126 165;
set combi[3362]:= 126 308;
set combi[3363]:= 126 226;
set combi[3364]:= 126 234;
set combi[3365]:= 126 379;
set combi[3366]:= 126 231;
set combi[3367]:= 126 321;
set combi[3368]:= 126 42;
set combi[3369]:= 126 236;
set combi[3370]:= 126 177;
set combi[3371]:= 126 359;
set combi[3372]:= 126 29;
set combi[3373]:= 126 305;
set combi[3374]:= 126 376;
set combi[3375]:= 126 309;
set combi[3376]:= 126 111;
set combi[3377]:= 126 318;
set combi[3378]:= 126 13;
set combi[3379]:= 126 389;
set combi[3380]:= 126 422;
set combi[3381]:= 126 303;
set combi[3382]:= 126 172;
set combi[3383]:= 126 190;
set combi[3384]:= 126 388;
set combi[3385]:= 126 352;
set combi[3386]:= 126 269;
set combi[3387]:= 126 360;
set combi[3388]:= 126 237;
set combi[3389]:= 126 293;
set combi[3390]:= 126 166;
set combi[3391]:= 126 355;
set combi[3392]:= 126 235;
set combi[3393]:= 126 320;
set combi[3394]:= 126 225;
set combi[3395]:= 126 175;
set combi[3396]:= 126 203;
set combi[3397]:= 126 372;
set combi[3398]:= 126 181;
set combi[3399]:= 126 373;
set combi[3400]:= 307 322;
set combi[3401]:= 307 233;
set combi[3402]:= 307 378;
set combi[3403]:= 307 61;
set combi[3404]:= 307 290;
set combi[3405]:= 307 150;
set combi[3406]:= 307 328;
set combi[3407]:= 307 162;
set combi[3408]:= 307 255;
set combi[3409]:= 307 424;
set combi[3410]:= 307 354;
set combi[3411]:= 307 194;
set combi[3412]:= 307 3;
set combi[3413]:= 307 399;
set combi[3414]:= 307 110;
set combi[3415]:= 307 297;
set combi[3416]:= 307 76;
set combi[3417]:= 307 395;
set combi[3418]:= 307 289;
set combi[3419]:= 307 276;
set combi[3420]:= 307 12;
set combi[3421]:= 307 415;
set combi[3422]:= 307 103;
set combi[3423]:= 307 344;
set combi[3424]:= 307 27;
set combi[3425]:= 307 91;
set combi[3426]:= 307 72;
set combi[3427]:= 307 173;
set combi[3428]:= 307 47;
set combi[3429]:= 307 316;
set combi[3430]:= 307 336;
set combi[3431]:= 307 189;
set combi[3432]:= 307 163;
set combi[3433]:= 307 2;
set combi[3434]:= 307 137;
set combi[3435]:= 307 210;
set combi[3436]:= 307 275;
set combi[3437]:= 307 286;
set combi[3438]:= 307 63;
set combi[3439]:= 307 325;
set combi[3440]:= 307 369;
set combi[3441]:= 307 363;
set combi[3442]:= 307 240;
set combi[3443]:= 307 271;
set combi[3444]:= 307 347;
set combi[3445]:= 307 216;
set combi[3446]:= 307 102;
set combi[3447]:= 307 358;
set combi[3448]:= 307 384;
set combi[3449]:= 307 420;
set combi[3450]:= 307 92;
set combi[3451]:= 307 386;
set combi[3452]:= 307 401;
set combi[3453]:= 307 79;
set combi[3454]:= 307 207;
set combi[3455]:= 307 391;
set combi[3456]:= 307 133;
set combi[3457]:= 307 83;
set combi[3458]:= 307 353;
set combi[3459]:= 307 112;
set combi[3460]:= 307 375;
set combi[3461]:= 307 174;
set combi[3462]:= 307 229;
set combi[3463]:= 307 93;
set combi[3464]:= 307 14;
set combi[3465]:= 307 182;
set combi[3466]:= 307 241;
set combi[3467]:= 307 298;
set combi[3468]:= 307 178;
set combi[3469]:= 307 184;
set combi[3470]:= 307 131;
set combi[3471]:= 307 412;
set combi[3472]:= 307 306;
set combi[3473]:= 307 186;
set combi[3474]:= 307 202;
set combi[3475]:= 307 158;
set combi[3476]:= 307 191;
set combi[3477]:= 307 232;
set combi[3478]:= 307 419;
set combi[3479]:= 307 127;
set combi[3480]:= 307 272;
set combi[3481]:= 307 87;
set combi[3482]:= 307 262;
set combi[3483]:= 307 383;
set combi[3484]:= 307 108;
set combi[3485]:= 307 45;
set combi[3486]:= 307 95;
set combi[3487]:= 307 340;
set combi[3488]:= 307 380;
set combi[3489]:= 307 64;
set combi[3490]:= 307 10;
set combi[3491]:= 307 371;
set combi[3492]:= 307 117;
set combi[3493]:= 307 288;
set combi[3494]:= 307 407;
set combi[3495]:= 307 36;
set combi[3496]:= 307 155;
set combi[3497]:= 307 113;
set combi[3498]:= 307 84;
set combi[3499]:= 307 119;
set combi[3500]:= 307 402;
set combi[3501]:= 307 277;
set combi[3502]:= 307 397;
set combi[3503]:= 307 348;
set combi[3504]:= 307 19;
set combi[3505]:= 307 260;
set combi[3506]:= 307 319;
set combi[3507]:= 307 361;
set combi[3508]:= 307 282;
set combi[3509]:= 307 15;
set combi[3510]:= 307 65;
set combi[3511]:= 307 21;
set combi[3512]:= 307 187;
set combi[3513]:= 307 374;
set combi[3514]:= 307 52;
set combi[3515]:= 307 425;
set combi[3516]:= 307 145;
set combi[3517]:= 307 266;
set combi[3518]:= 307 195;
set combi[3519]:= 307 243;
set combi[3520]:= 307 199;
set combi[3521]:= 307 116;
set combi[3522]:= 307 32;
set combi[3523]:= 307 67;
set combi[3524]:= 307 171;
set combi[3525]:= 307 345;
set combi[3526]:= 307 128;
set combi[3527]:= 307 204;
set combi[3528]:= 307 75;
set combi[3529]:= 307 223;
set combi[3530]:= 307 18;
set combi[3531]:= 307 254;
set combi[3532]:= 307 59;
set combi[3533]:= 307 24;
set combi[3534]:= 307 299;
set combi[3535]:= 307 278;
set combi[3536]:= 307 142;
set combi[3537]:= 307 89;
set combi[3538]:= 307 214;
set combi[3539]:= 307 185;
set combi[3540]:= 307 404;
set combi[3541]:= 307 49;
set combi[3542]:= 307 385;
set combi[3543]:= 307 168;
set combi[3544]:= 307 381;
set combi[3545]:= 307 287;
set combi[3546]:= 307 283;
set combi[3547]:= 307 220;
set combi[3548]:= 307 239;
set combi[3549]:= 307 333;
set combi[3550]:= 307 418;
set combi[3551]:= 307 74;
set combi[3552]:= 307 341;
set combi[3553]:= 307 6;
set combi[3554]:= 307 200;
set combi[3555]:= 307 227;
set combi[3556]:= 307 183;
set combi[3557]:= 307 122;
set combi[3558]:= 307 268;
set combi[3559]:= 307 312;
set combi[3560]:= 307 85;
set combi[3561]:= 307 46;
set combi[3562]:= 307 136;
set combi[3563]:= 307 244;
set combi[3564]:= 307 421;
set combi[3565]:= 307 39;
set combi[3566]:= 307 249;
set combi[3567]:= 307 208;
set combi[3568]:= 307 362;
set combi[3569]:= 307 106;
set combi[3570]:= 307 179;
set combi[3571]:= 307 205;
set combi[3572]:= 307 382;
set combi[3573]:= 307 147;
set combi[3574]:= 307 97;
set combi[3575]:= 307 120;
set combi[3576]:= 307 349;
set combi[3577]:= 307 338;
set combi[3578]:= 307 367;
set combi[3579]:= 307 33;
set combi[3580]:= 307 215;
set combi[3581]:= 307 151;
set combi[3582]:= 307 323;
set combi[3583]:= 307 251;
set combi[3584]:= 307 86;
set combi[3585]:= 307 368;
set combi[3586]:= 307 22;
set combi[3587]:= 307 292;
set combi[3588]:= 307 310;
set combi[3589]:= 307 410;
set combi[3590]:= 307 256;
set combi[3591]:= 307 357;
set combi[3592]:= 307 247;
set combi[3593]:= 307 60;
set combi[3594]:= 307 300;
set combi[3595]:= 307 118;
set combi[3596]:= 307 317;
set combi[3597]:= 307 228;
set combi[3598]:= 307 365;
set combi[3599]:= 307 198;
set combi[3600]:= 307 54;
set combi[3601]:= 307 20;
set combi[3602]:= 307 80;
set combi[3603]:= 307 9;
set combi[3604]:= 307 124;
set combi[3605]:= 307 390;
set combi[3606]:= 307 148;
set combi[3607]:= 307 62;
set combi[3608]:= 307 291;
set combi[3609]:= 307 134;
set combi[3610]:= 307 411;
set combi[3611]:= 307 196;
set combi[3612]:= 307 170;
set combi[3613]:= 307 252;
set combi[3614]:= 307 295;
set combi[3615]:= 307 180;
set combi[3616]:= 307 138;
set combi[3617]:= 307 334;
set combi[3618]:= 307 48;
set combi[3619]:= 307 99;
set combi[3620]:= 307 423;
set combi[3621]:= 307 156;
set combi[3622]:= 307 160;
set combi[3623]:= 307 7;
set combi[3624]:= 307 408;
set combi[3625]:= 307 152;
set combi[3626]:= 307 396;
set combi[3627]:= 307 192;
set combi[3628]:= 307 337;
set combi[3629]:= 307 342;
set combi[3630]:= 307 212;
set combi[3631]:= 307 164;
set combi[3632]:= 307 350;
set combi[3633]:= 307 261;
set combi[3634]:= 307 296;
set combi[3635]:= 307 257;
set combi[3636]:= 307 217;
set combi[3637]:= 307 313;
set combi[3638]:= 307 281;
set combi[3639]:= 307 107;
set combi[3640]:= 307 331;
set combi[3641]:= 307 250;
set combi[3642]:= 307 406;
set combi[3643]:= 307 416;
set combi[3644]:= 307 34;
set combi[3645]:= 307 56;
set combi[3646]:= 307 211;
set combi[3647]:= 307 115;
set combi[3648]:= 307 135;
set combi[3649]:= 307 43;
set combi[3650]:= 307 230;
set combi[3651]:= 307 35;
set combi[3652]:= 307 28;
set combi[3653]:= 307 284;
set combi[3654]:= 307 304;
set combi[3655]:= 307 70;
set combi[3656]:= 307 17;
set combi[3657]:= 307 161;
set combi[3658]:= 307 4;
set combi[3659]:= 307 248;
set combi[3660]:= 307 82;
set combi[3661]:= 307 143;
set combi[3662]:= 307 1;
set combi[3663]:= 307 238;
set combi[3664]:= 307 50;
set combi[3665]:= 307 139;
set combi[3666]:= 307 213;
set combi[3667]:= 307 209;
set combi[3668]:= 307 346;
set combi[3669]:= 307 326;
set combi[3670]:= 307 356;
set combi[3671]:= 307 169;
set combi[3672]:= 307 413;
set combi[3673]:= 307 165;
set combi[3674]:= 307 104;
set combi[3675]:= 307 193;
set combi[3676]:= 307 221;
set combi[3677]:= 307 308;
set combi[3678]:= 307 273;
set combi[3679]:= 307 218;
set combi[3680]:= 307 101;
set combi[3681]:= 307 343;
set combi[3682]:= 307 226;
set combi[3683]:= 307 314;
set combi[3684]:= 307 77;
set combi[3685]:= 307 329;
set combi[3686]:= 307 364;
set combi[3687]:= 307 81;
set combi[3688]:= 307 234;
set combi[3689]:= 307 379;
set combi[3690]:= 307 231;
set combi[3691]:= 307 321;
set combi[3692]:= 307 42;
set combi[3693]:= 307 236;
set combi[3694]:= 307 159;
set combi[3695]:= 307 132;
set combi[3696]:= 307 177;
set combi[3697]:= 307 100;
set combi[3698]:= 307 267;
set combi[3699]:= 307 285;
set combi[3700]:= 307 359;
set combi[3701]:= 307 263;
set combi[3702]:= 307 188;
set combi[3703]:= 307 405;
set combi[3704]:= 307 57;
set combi[3705]:= 307 400;
set combi[3706]:= 307 414;
set combi[3707]:= 307 88;
set combi[3708]:= 307 246;
set combi[3709]:= 307 157;
set combi[3710]:= 307 339;
set combi[3711]:= 307 29;
set combi[3712]:= 307 129;
set combi[3713]:= 307 71;
set combi[3714]:= 307 23;
set combi[3715]:= 307 387;
set combi[3716]:= 307 305;
set combi[3717]:= 307 206;
set combi[3718]:= 307 394;
set combi[3719]:= 307 94;
set combi[3720]:= 307 311;
set combi[3721]:= 307 376;
set combi[3722]:= 307 153;
set combi[3723]:= 307 309;
set combi[3724]:= 307 58;
set combi[3725]:= 307 111;
set combi[3726]:= 307 258;
set combi[3727]:= 307 327;
set combi[3728]:= 307 318;
set combi[3729]:= 307 279;
set combi[3730]:= 307 13;
set combi[3731]:= 307 146;
set combi[3732]:= 307 26;
set combi[3733]:= 307 330;
set combi[3734]:= 307 301;
set combi[3735]:= 307 5;
set combi[3736]:= 307 409;
set combi[3737]:= 307 389;
set combi[3738]:= 307 422;
set combi[3739]:= 307 303;
set combi[3740]:= 307 172;
set combi[3741]:= 307 123;
set combi[3742]:= 307 403;
set combi[3743]:= 307 398;
set combi[3744]:= 307 114;
set combi[3745]:= 307 264;
set combi[3746]:= 307 78;
set combi[3747]:= 307 370;
set combi[3748]:= 307 224;
set combi[3749]:= 307 190;
set combi[3750]:= 307 388;
set combi[3751]:= 307 105;
set combi[3752]:= 307 324;
set combi[3753]:= 307 352;
set combi[3754]:= 307 269;
set combi[3755]:= 307 144;
set combi[3756]:= 307 392;
set combi[3757]:= 307 68;
set combi[3758]:= 307 201;
set combi[3759]:= 307 16;
set combi[3760]:= 307 66;
set combi[3761]:= 307 360;
set combi[3762]:= 307 25;
set combi[3763]:= 307 37;
set combi[3764]:= 307 140;
set combi[3765]:= 307 222;
set combi[3766]:= 307 237;
set combi[3767]:= 307 293;
set combi[3768]:= 307 280;
set combi[3769]:= 307 154;
set combi[3770]:= 307 166;
set combi[3771]:= 307 355;
set combi[3772]:= 307 351;
set combi[3773]:= 307 219;
set combi[3774]:= 307 259;
set combi[3775]:= 307 96;
set combi[3776]:= 307 332;
set combi[3777]:= 307 41;
set combi[3778]:= 307 8;
set combi[3779]:= 307 265;
set combi[3780]:= 307 235;
set combi[3781]:= 307 30;
set combi[3782]:= 307 320;
set combi[3783]:= 307 73;
set combi[3784]:= 307 225;
set combi[3785]:= 307 302;
set combi[3786]:= 307 121;
set combi[3787]:= 307 242;
set combi[3788]:= 307 40;
set combi[3789]:= 307 274;
set combi[3790]:= 307 125;
set combi[3791]:= 307 90;
set combi[3792]:= 307 270;
set combi[3793]:= 307 175;
set combi[3794]:= 307 203;
set combi[3795]:= 307 98;
set combi[3796]:= 307 294;
set combi[3797]:= 307 44;
set combi[3798]:= 307 372;
set combi[3799]:= 307 53;
set combi[3800]:= 307 149;
set combi[3801]:= 307 366;
set combi[3802]:= 307 181;
set combi[3803]:= 307 373;
set combi[3804]:= 307 141;
set combi[3805]:= 307 245;
set combi[3806]:= 307 253;
set combi[3807]:= 307 393;
set combi[3808]:= 322 233;
set combi[3809]:= 322 378;
set combi[3810]:= 322 61;
set combi[3811]:= 322 290;
set combi[3812]:= 322 150;
set combi[3813]:= 322 328;
set combi[3814]:= 322 162;
set combi[3815]:= 322 255;
set combi[3816]:= 322 424;
set combi[3817]:= 322 354;
set combi[3818]:= 322 194;
set combi[3819]:= 322 3;
set combi[3820]:= 322 399;
set combi[3821]:= 322 110;
set combi[3822]:= 322 297;
set combi[3823]:= 322 76;
set combi[3824]:= 322 395;
set combi[3825]:= 322 289;
set combi[3826]:= 322 276;
set combi[3827]:= 322 12;
set combi[3828]:= 322 415;
set combi[3829]:= 322 103;
set combi[3830]:= 322 344;
set combi[3831]:= 322 27;
set combi[3832]:= 322 91;
set combi[3833]:= 322 72;
set combi[3834]:= 322 173;
set combi[3835]:= 322 47;
set combi[3836]:= 322 316;
set combi[3837]:= 322 336;
set combi[3838]:= 322 189;
set combi[3839]:= 322 163;
set combi[3840]:= 322 2;
set combi[3841]:= 322 137;
set combi[3842]:= 322 210;
set combi[3843]:= 322 275;
set combi[3844]:= 322 286;
set combi[3845]:= 322 63;
set combi[3846]:= 322 325;
set combi[3847]:= 322 369;
set combi[3848]:= 322 363;
set combi[3849]:= 322 240;
set combi[3850]:= 322 271;
set combi[3851]:= 322 347;
set combi[3852]:= 322 216;
set combi[3853]:= 322 102;
set combi[3854]:= 322 358;
set combi[3855]:= 322 384;
set combi[3856]:= 322 420;
set combi[3857]:= 322 92;
set combi[3858]:= 322 386;
set combi[3859]:= 322 401;
set combi[3860]:= 322 79;
set combi[3861]:= 322 207;
set combi[3862]:= 322 391;
set combi[3863]:= 322 133;
set combi[3864]:= 322 83;
set combi[3865]:= 322 353;
set combi[3866]:= 322 112;
set combi[3867]:= 322 375;
set combi[3868]:= 322 174;
set combi[3869]:= 322 229;
set combi[3870]:= 322 93;
set combi[3871]:= 322 14;
set combi[3872]:= 322 182;
set combi[3873]:= 322 241;
set combi[3874]:= 322 298;
set combi[3875]:= 322 178;
set combi[3876]:= 322 184;
set combi[3877]:= 322 131;
set combi[3878]:= 322 412;
set combi[3879]:= 322 306;
set combi[3880]:= 322 186;
set combi[3881]:= 322 202;
set combi[3882]:= 322 158;
set combi[3883]:= 322 191;
set combi[3884]:= 322 232;
